,Category,DayOfWeek,Date,Time,Location,StreetMatch,Distance
24038,ASSAULT,Friday,9/26/14,12:30,"(37.7570361132269, -122.418904204517)",8678,0.01168229
24039,ROBBERY,Friday,9/26/14,11:50,"(37.7865533498473, -122.43343589718)",8607,0.013539519
24040,ASSAULT,Friday,9/26/14,11:35,"(37.7884461157258, -122.433676892244)",8607,0.012100858
24041,DRUG/NARCOTIC,Friday,9/26/14,11:16,"(37.7841893501425, -122.407633520742)",8683,0.004539526
24042,DRUG/NARCOTIC,Friday,9/26/14,10:44,"(37.7845808066125, -122.414593411257)",8683,0.004435563
24043,ASSAULT,Friday,9/26/14,10:30,"(37.775420706711, -122.403404791479)",8677,0.005638244
24044,ASSAULT,Friday,9/26/14,9:40,"(37.7196920262929, -122.438695075365)",8921,0.00149127
24045,ASSAULT,Friday,9/26/14,8:50,"(37.7525821196813, -122.492412338321)",8696,0.010347641
24046,ASSAULT,Friday,9/26/14,8:45,"(37.7333744726456, -122.406771834009)",8833,0.006346461
24047,"SEX OFFENSES, FORCIBLE",Friday,9/26/14,8:40,"(37.7564864109309, -122.406539115148)",8679,0.007667968
24048,DRUG/NARCOTIC,Friday,9/26/14,8:00,"(37.7330972312607, -122.442002627455)",8920,0.014106307
24049,ASSAULT,Friday,9/26/14,8:00,"(37.7494064983293, -122.412990607244)",8679,0.01039138
24050,DRUG/NARCOTIC,Friday,9/26/14,7:50,"(37.7825859895625, -122.408560037296)",8683,0.002959894
24051,"SEX OFFENSES, FORCIBLE",Friday,9/26/14,7:30,"(37.8032219444332, -122.402591782252)",8682,0.015144409
24052,ASSAULT,Friday,9/26/14,6:30,"(37.7535645746594, -122.395635436168)",8679,0.007879103
24053,ASSAULT,Friday,9/26/14,5:40,"(37.786777956045, -122.416614060876)",8682,0.006471615
24054,ROBBERY,Friday,9/26/14,3:30,"(37.789224205873, -122.408597386677)",8682,0.0047665
24055,ASSAULT,Friday,9/26/14,3:00,"(37.7965569034391, -122.412544215454)",8682,0.004717055
24056,ROBBERY,Friday,9/26/14,2:52,"(37.7440381549154, -122.420896598735)",8679,0.019202502
