,EdgeID,startCoords,endCoords,distance
0,7032,"(38.466919, -122.42111200000001)","(38.475662, -122.40366399999999)",0.019516
1,7033,"(38.466919, -122.42111200000001)","(38.477333, -122.43550900000001)",0.017768
2,7034,"(38.466919, -122.42111200000001)","(38.433116999999996, -122.38968700000001)",0.046153
3,7035,"(38.475662, -122.40366399999999)","(38.485110999999996, -122.402573)",0.009512
4,7036,"(38.485110999999996, -122.402573)","(38.487724, -122.40041399999998)",0.00339
5,7037,"(38.487724, -122.40041399999998)","(38.485092, -122.391792)",0.009014
6,7038,"(38.485092, -122.391792)","(38.478767, -122.378258)",0.014939
7,7039,"(38.478767, -122.378258)","(38.477474, -122.370598)",0.007768
8,7040,"(38.477474, -122.370598)","(38.479263, -122.360527)",0.010228
9,7041,"(38.479263, -122.360527)","(38.493557, -122.34171299999998)",0.023628
10,7042,"(38.493557, -122.34171299999998)","(38.493423, -122.328011)",0.013703
11,7043,"(38.493423, -122.328011)","(38.489609, -122.314651)",0.013893
12,7044,"(38.489609, -122.314651)","(38.490790999999994, -122.30803700000001)",0.00672
13,7045,"(38.490790999999994, -122.30803700000001)","(38.489769, -122.299232)",0.008863
14,7046,"(38.489769, -122.299232)","(38.49601, -122.292374)",0.009273
15,7053,"(38.477333, -122.43550900000001)","(38.483921, -122.448196)",0.014296
16,7054,"(38.483921, -122.448196)","(38.499767, -122.464142)",0.02248
17,7083,"(38.475105, -122.723396)","(38.462635, -122.716843)",0.014087
18,7084,"(38.462635, -122.716843)","(38.441978000000006, -122.70723000000001)",0.022784
19,7089,"(38.454262, -122.683968)","(38.454948, -122.682671)",0.001468
20,7090,"(38.454262, -122.683968)","(38.441978000000006, -122.70723000000001)",0.026306
21,7091,"(38.454948, -122.682671)","(38.465332000000004, -122.67047099999999)",0.01602
22,7111,"(38.448597, -122.198692)","(38.459297, -122.21219599999999)",0.017229
23,7112,"(38.448597, -122.198692)","(38.441719, -122.18688999999999)",0.01366
24,7113,"(38.448597, -122.198692)","(38.433426000000004, -122.21106699999999)",0.019578
25,7114,"(38.459297, -122.21219599999999)","(38.474953, -122.22226)",0.018611
26,7115,"(38.474953, -122.22226)","(38.498543, -122.24043300000001)",0.029778
27,7117,"(38.441978000000006, -122.70723000000001)","(38.417942, -122.71424099999999)",0.025038
28,7138,"(38.49971, -122.021553)","(38.49987, -122.02941100000001)",0.00786
29,7146,"(38.465828, -122.14511100000001)","(38.441165999999996, -122.15426599999999)",0.026307
30,7147,"(38.441165999999996, -122.15426599999999)","(38.435009, -122.153282)",0.006235
31,7148,"(38.435009, -122.153282)","(38.433009999999996, -122.15751599999999)",0.004682
32,7149,"(38.433009999999996, -122.15751599999999)","(38.437862, -122.16831200000001)",0.011836
33,7150,"(38.437862, -122.16831200000001)","(38.441719, -122.18688999999999)",0.018974
